user_id,transaction_type,merchant_type_code,amount_cents,datetime
31373,PurchaseActivity,5310,107700,2023-04-15T12:04:02.61636
5453,PurchaseActivity,7298,60987,2023-03-14T11:16:29.036731
75853,PurchaseActivity,5200,2997,2023-04-15T12:42:08.87193
91293,PurchaseActivity,4829,932,2023-05-04T09:25:15.061315
91293,PurchaseActivity,4829,943,2023-05-04T09:26:26.80834
38493,ReturnActivity,5732,989,2023-03-16T20:44:57.212719
91293,PurchaseActivity,4829,671,2023-05-04T09:25:17.045032
18973,PurchaseActivity,7298,59012,2023-03-14T11:30:17.037206
46253,PurchaseActivity,6513,100000,2023-03-14T11:31:43.474549
38493,PurchaseActivity,5732,4997,2023-03-14T11:57:58.383429
38493,ReturnActivity,5732,4997,2023-03-16T20:44:57.839061
56333,PurchaseActivity,5734,29699,2023-04-16T11:34:27.499032
44413,PurchaseActivity,5942,50000,2023-03-14T12:08:37.09823
38493,PurchaseActivity,5732,9997,2023-03-14T12:11:14.747943
82573,PurchaseActivity,5816,2000,2023-04-16T11:49:02.334023
56333,PurchaseActivity,4900,11865,2023-04-16T11:52:29.476652
38493,PurchaseActivity,5732,9997,2023-03-14T12:10:34.933301
91293,PurchaseActivity,4829,515,2023-05-04T20:54:15.776397
96813,PurchaseActivity,6540,40000,2023-05-04T20:57:16.920327
91293,PurchaseActivity,4829,550,2023-05-04T20:54:16.276631
56333,PurchaseActivity,8011,12956,2023-05-04T23:40:36.837701
31373,PurchaseActivity,5310,143600,2023-05-05T01:39:43.113273
101373,PurchaseActivity,5942,2000,2023-05-05T02:30:13.058994
6253,PurchaseActivity,5947,99938,2023-04-17T11:15:14.741714
88333,PurchaseActivity,4900,45000,2023-05-05T04:45:24.424628
56333,PurchaseActivity,5399,8025,2023-04-17T11:20:34.426699
91693,PurchaseActivity,5942,500,2023-04-17T11:37:25.165159
10013,PurchaseActivity,5995,13172,2023-04-18T00:18:46.306611
9693,PurchaseActivity,5499,9099,2023-03-15T11:41:28.364309
91533,PurchaseActivity,5815,7500,2023-04-18T11:47:37.648742
38493,PurchaseActivity,5732,1782,2023-03-15T11:48:12.613658
6253,PurchaseActivity,5947,99938,2023-04-18T11:54:41.971126
91613,PurchaseActivity,5999,9009,2023-04-18T12:04:47.150798
78093,PurchaseActivity,6540,25000,2023-03-15T11:50:54.20945
6893,PurchaseActivity,8398,50000,2023-04-18T11:59:24.117812
38493,PurchaseActivity,5732,6782,2023-03-15T11:54:24.734705
90573,PurchaseActivity,5814,2000,2023-04-18T12:10:21.142778
91293,PurchaseActivity,5812,1028,2023-05-05T20:54:04.502748
34893,PurchaseActivity,5732,79999,2023-03-15T12:12:19.598807
21533,PurchaseActivity,5995,6298,2023-04-18T12:19:02.307115
9453,PurchaseActivity,5310,107700,2023-05-05T21:25:22.277898
38493,PurchaseActivity,5732,7580,2023-03-15T12:26:49.685715
84333,PurchaseActivity,5942,500,2023-03-15T12:28:26.487465
37133,PurchaseActivity,5732,53997,2023-03-15T12:29:57.088217
46253,PurchaseActivity,6513,38042,2023-05-06T01:26:59.44883
18973,PurchaseActivity,7298,62312,2023-03-15T12:45:55.882702
34893,PurchaseActivity,5732,239997,2023-03-15T12:47:12.480715
5453,PurchaseActivity,7298,60123,2023-04-19T11:46:36.624698
46413,PurchaseActivity,5734,7152,2023-05-06T02:42:00.541935
91293,PurchaseActivity,4829,515,2023-04-19T12:14:19.711423
18973,PurchaseActivity,7298,59823,2023-04-19T12:15:32.610623
46253,PurchaseActivity,7991,9490,2023-05-06T03:30:03.708672
6253,PurchaseActivity,5947,99938,2023-04-19T12:22:23.826863
6253,PurchaseActivity,5947,99938,2023-03-16T11:21:03.732041
38493,PurchaseActivity,5732,5990,2023-03-16T11:28:07.409101
4413,PurchaseActivity,8099,499938,2023-05-06T04:37:30.849175
21853,PurchaseActivity,4900,100000,2023-03-16T11:30:10.708302
38493,PurchaseActivity,5732,8985,2023-03-16T11:34:01.500355
80493,PurchaseActivity,6540,25595,2023-05-06T05:32:21.475586
38493,PurchaseActivity,5732,8985,2023-03-16T11:36:00.698678
38493,PurchaseActivity,5732,5990,2023-03-16T11:36:40.114959
62733,PurchaseActivity,9399,328000,2023-05-06T06:38:17.65852
34893,PurchaseActivity,5732,79999,2023-03-16T11:47:54.821202
38493,PurchaseActivity,5732,5990,2023-03-16T11:58:04.48637
38493,PurchaseActivity,5732,14391,2023-03-16T12:03:42.671201
19293,PurchaseActivity,8099,10294,2023-05-06T14:25:03.232323
34893,PurchaseActivity,5732,79999,2023-03-16T12:04:08.058887
38493,PurchaseActivity,5732,5990,2023-03-16T12:17:06.134598
34893,PurchaseActivity,5732,79999,2023-03-16T12:19:34.429389
38493,PurchaseActivity,5732,8985,2023-03-16T12:21:35.039689
91293,PurchaseActivity,4829,515,2023-05-07T00:36:05.109607
85533,PurchaseActivity,7399,12818,2023-05-07T00:37:33.718248
9453,PurchaseActivity,5310,107700,2023-05-07T01:24:50.105354
91293,PurchaseActivity,4829,515,2023-04-20T11:29:22.020118
91293,PurchaseActivity,5812,855,2023-05-07T04:33:55.81766
18973,PurchaseActivity,7298,60134,2023-04-20T11:29:58.385989
91293,PurchaseActivity,4829,515,2023-04-20T11:32:58.127471
9693,PurchaseActivity,5499,11916,2023-04-20T11:33:47.72284
5453,PurchaseActivity,7298,59012,2023-04-20T11:41:00.078424
91293,PurchaseActivity,4829,1058,2023-05-07T04:35:42.333202
91293,PurchaseActivity,4829,515,2023-04-20T11:34:39.920248
91293,PurchaseActivity,4829,855,2023-05-07T04:36:08.869983
46253,PurchaseActivity,6513,100000,2023-03-16T20:44:48.829575
38493,PurchaseActivity,5732,24998,2023-03-16T20:44:49.359892
36253,PurchaseActivity,5699,6000,2023-03-16T20:44:49.726022
38493,PurchaseActivity,5732,8994,2023-03-16T20:44:52.615402
38493,ReturnActivity,5732,8994,2023-03-16T20:44:52.619089
23933,PurchaseActivity,5719,79186,2023-03-16T20:44:53.244875
38493,PurchaseActivity,5732,159498,2023-03-16T20:44:56.231636
38493,ReturnActivity,5732,159498,2023-03-16T20:44:56.236228
38493,PurchaseActivity,5732,989,2023-03-16T20:44:57.207945
34893,PurchaseActivity,5732,299997,2023-03-16T20:44:57.259903
38493,PurchaseActivity,5732,4997,2023-03-16T20:44:57.833734
91293,PurchaseActivity,4829,515,2023-04-20T12:10:05.584932
91293,PurchaseActivity,4829,515,2023-04-20T12:10:17.329335
101933,PurchaseActivity,5942,10000,2023-05-07T07:25:09.3648
92413,PurchaseActivity,5995,4566,2023-04-20T12:27:58.515522
80173,PurchaseActivity,8398,11000,2023-03-17T11:17:08.945318
18973,PurchaseActivity,7298,60213,2023-03-17T11:29:10.960729
5453,PurchaseActivity,7298,60712,2023-03-17T11:23:07.239071
91293,PurchaseActivity,4829,510,2023-05-07T19:29:26.568291
34893,PurchaseActivity,5732,53997,2023-03-17T11:28:23.564711
37133,PurchaseActivity,9399,724,2023-03-17T11:49:51.246641
91293,PurchaseActivity,4829,697,2023-05-07T19:30:06.698238
6253,PurchaseActivity,5947,99938,2023-03-17T11:45:16.678793
19293,PurchaseActivity,5817,2999,2023-05-07T21:27:58.751968
34893,PurchaseActivity,5732,53997,2023-03-17T11:46:11.291631
72893,PurchaseActivity,6513,10731,2023-05-07T22:18:17.903527
31373,PurchaseActivity,5310,143600,2023-05-07T23:17:53.076217
40013,PurchaseActivity,8661,500,2023-05-08T00:30:18.296194
56333,PurchaseActivity,5691,14124,2023-05-08T16:39:37.774792
18973,PurchaseActivity,7298,60812,2023-03-18T11:20:01.364605
91293,PurchaseActivity,4829,515,2023-05-08T19:14:07.340665
5453,PurchaseActivity,7298,61234,2023-03-18T12:07:07.839405
71453,PurchaseActivity,5311,9463,2023-03-18T12:26:35.672429
19293,PurchaseActivity,8011,9154,2023-05-09T03:14:55.340004
91293,PurchaseActivity,4829,515,2023-04-21T12:04:59.661761
90093,PurchaseActivity,5942,3799,2023-04-21T12:05:40.391826
56333,PurchaseActivity,6513,140836,2023-05-09T04:12:11.096427
9453,PurchaseActivity,5310,99995,2023-04-21T12:05:47.926093
19293,PurchaseActivity,8099,14885,2023-05-09T10:24:22.669493
91293,PurchaseActivity,4829,515,2023-04-21T12:06:10.385602
9453,PurchaseActivity,5310,11407,2023-04-21T12:19:35.949888
91293,PurchaseActivity,4829,515,2023-04-21T12:22:05.122734
85533,PurchaseActivity,5817,22025,2023-03-19T11:06:27.395855
9453,PurchaseActivity,5300,19999,2023-04-21T12:32:07.385114
82573,PurchaseActivity,8999,75000,2023-03-19T11:09:57.678549
91293,PurchaseActivity,4829,515,2023-04-21T12:36:08.460127
83933,PurchaseActivity,7399,12000,2023-03-19T11:36:24.131002
5453,PurchaseActivity,7298,61232,2023-04-21T12:47:04.546235
93773,PurchaseActivity,5691,5355,2023-04-21T12:48:57.810383
21853,PurchaseActivity,7299,299439,2023-03-20T12:07:03.975516
80253,PurchaseActivity,5661,12507,2023-05-10T18:12:38.562374
23933,PurchaseActivity,5732,70000,2023-03-21T11:56:26.173403
18973,PurchaseActivity,7298,60723,2023-03-21T11:57:15.794374
9453,PurchaseActivity,5310,35800,2023-04-22T11:29:09.343119
91293,PurchaseActivity,4829,515,2023-04-22T11:54:19.524045
91293,PurchaseActivity,4829,515,2023-04-22T11:58:01.943768
91293,PurchaseActivity,4829,515,2023-04-22T12:02:56.955317
38493,PurchaseActivity,5732,24973,2023-05-11T00:25:27.343136
18813,PurchaseActivity,4900,50000,2023-05-11T00:27:23.408074
25213,PurchaseActivity,8999,21999,2023-03-21T12:03:59.653393
91293,PurchaseActivity,4829,515,2023-04-22T11:35:10.125309
9453,PurchaseActivity,5310,99995,2023-04-22T11:37:50.327187
5453,PurchaseActivity,7298,60934,2023-04-22T11:45:23.828779
38493,PurchaseActivity,5732,79973,2023-05-11T00:26:33.638358
37133,PurchaseActivity,7999,40000,2023-03-21T12:13:26.509146
91293,PurchaseActivity,4829,515,2023-04-22T11:40:35.109772
37133,PurchaseActivity,7999,57500,2023-03-21T12:15:11.078872
18973,PurchaseActivity,7298,59823,2023-04-22T11:49:25.829975
91293,PurchaseActivity,4829,515,2023-04-22T12:06:38.780487
9453,PurchaseActivity,5310,49500,2023-04-22T12:32:39.957385
9453,PurchaseActivity,5310,49500,2023-04-22T12:34:07.858662
18813,PurchaseActivity,4900,10000,2023-05-11T09:13:58.680513
91293,PurchaseActivity,4829,515,2023-05-11T09:15:18.993083
85213,PurchaseActivity,6513,85600,2023-05-11T09:16:08.980873
9453,PurchaseActivity,5300,27998,2023-04-23T11:38:09.065906
9453,PurchaseActivity,5300,27998,2023-04-23T11:43:46.038933
9453,PurchaseActivity,5310,99995,2023-04-23T11:45:48.316632
9453,PurchaseActivity,5310,99995,2023-04-23T12:05:33.158956
18973,PurchaseActivity,7298,62134,2023-04-23T12:10:04.294651
9453,PurchaseActivity,5310,71800,2023-04-23T12:09:08.930243
31373,PurchaseActivity,5310,143600,2023-05-11T18:13:39.995495
38493,PurchaseActivity,5732,13350,2023-05-12T00:25:58.687225
46253,PurchaseActivity,6513,300000,2023-03-22T11:18:40.756874
18973,PurchaseActivity,7298,62341,2023-03-22T11:19:06.704817
38493,PurchaseActivity,5732,10613,2023-05-12T00:27:23.786392
85533,PurchaseActivity,5817,20000,2023-03-22T11:27:37.275129
37533,PurchaseActivity,6513,64200,2023-05-12T01:18:10.421922
41533,PurchaseActivity,8999,210945,2023-03-22T11:36:01.385045
31373,PurchaseActivity,5310,71800,2023-05-12T02:13:25.694068
31373,PurchaseActivity,5310,71800,2023-05-12T02:13:32.307815
34973,PurchaseActivity,5967,14999,2023-03-22T11:47:56.514391
56333,PurchaseActivity,8011,12696,2023-03-22T11:53:34.691603
46253,PurchaseActivity,5641,6420,2023-05-12T05:19:20.193464
8653,PurchaseActivity,5310,65800,2023-03-22T11:56:12.917469
5453,PurchaseActivity,7298,61345,2023-04-24T11:22:02.923751
91293,PurchaseActivity,4829,660,2023-05-12T09:15:50.156259
5453,PurchaseActivity,7298,56741,2023-03-22T12:06:42.17051
18973,PurchaseActivity,7298,58912,2023-04-24T11:33:07.420418
56333,PurchaseActivity,4900,14465,2023-03-22T12:19:08.87574
56333,PurchaseActivity,6300,60037,2023-03-22T12:19:58.503947
6893,PurchaseActivity,5921,17200,2023-04-24T11:39:17.929743
93293,PurchaseActivity,6513,590000,2023-04-24T11:47:29.337446
38493,PurchaseActivity,5732,9975,2023-05-13T00:24:48.18811
91293,PurchaseActivity,5812,583,2023-05-13T04:12:54.215077
19293,PurchaseActivity,8211,4975,2023-05-13T10:41:59.540204
16093,PurchaseActivity,5921,45868,2023-05-13T17:15:46.25062
91293,PurchaseActivity,4829,688,2023-05-13T20:18:00.848948
31373,PurchaseActivity,5310,71800,2023-05-14T18:13:24.637292
21853,PurchaseActivity,7299,299439,2023-03-23T11:22:52.842657
18973,PurchaseActivity,7298,60812,2023-03-23T11:35:26.850092
91293,PurchaseActivity,4829,515,2023-05-15T03:13:33.61107
6893,PurchaseActivity,5921,14100,2023-05-15T03:14:12.618266
46253,PurchaseActivity,6513,300000,2023-03-23T11:35:55.944784
38493,PurchaseActivity,5732,15497,2023-03-23T11:36:10.226566
91293,PurchaseActivity,4829,515,2023-05-15T03:14:12.441258
38493,PurchaseActivity,5732,4997,2023-03-23T11:44:44.53212
101853,PurchaseActivity,6513,173335,2023-05-15T04:14:13.372057
5453,PurchaseActivity,7298,64312,2023-03-23T12:14:41.623027
91293,PurchaseActivity,4829,515,2023-04-25T11:44:14.410884
91293,PurchaseActivity,4829,515,2023-04-25T11:47:15.017702
91293,PurchaseActivity,4829,863,2023-05-15T09:15:29.949117
41533,PurchaseActivity,8999,47334,2023-03-23T12:17:42.870196
82573,PurchaseActivity,8299,24900,2023-04-25T11:54:50.624262
91293,PurchaseActivity,4829,515,2023-04-25T11:55:24.172105
9453,PurchaseActivity,5310,71800,2023-04-25T11:57:15.499812
91293,PurchaseActivity,4829,515,2023-04-25T12:08:13.786511
38493,ReturnActivity,5732,5584,2023-04-25T12:08:36.523768
15613,PurchaseActivity,5311,35676,2023-04-25T12:08:22.436897
91293,PurchaseActivity,4829,515,2023-04-25T12:27:52.912169
5453,PurchaseActivity,7298,50212,2023-04-25T12:30:46.342996
38493,ReturnActivity,5732,8782,2023-04-25T12:31:06.780442
91293,PurchaseActivity,4829,515,2023-04-25T12:38:25.643356
17613,PurchaseActivity,7299,299439,2023-03-24T11:44:08.76129
83933,PurchaseActivity,7299,48228,2023-04-25T12:38:27.306584
333,PurchaseActivity,5965,18600,2023-03-24T11:45:44.834653
38493,PurchaseActivity,5732,4997,2023-03-24T11:49:09.823978
20413,PurchaseActivity,5311,37475,2023-03-24T12:05:26.510055
38493,PurchaseActivity,5732,9997,2023-03-24T12:05:45.681939
18973,PurchaseActivity,7298,59012,2023-03-24T11:51:18.514075
38493,PurchaseActivity,5732,7497,2023-03-24T11:56:11.172803
88333,PurchaseActivity,7392,6900,2023-05-16T00:28:42.14579
38493,PurchaseActivity,5732,4997,2023-03-24T12:13:55.351537
38493,PurchaseActivity,5732,34997,2023-05-16T00:29:41.754315
38493,PurchaseActivity,5732,9997,2023-03-24T12:22:49.413128
46413,PurchaseActivity,5816,1971,2023-05-16T02:16:15.16995
38493,PurchaseActivity,5732,4997,2023-03-24T12:23:11.562625
46253,PurchaseActivity,6513,300000,2023-03-24T12:38:23.166943
28653,PurchaseActivity,5300,70996,2023-05-16T04:14:42.61756
18973,PurchaseActivity,7298,58423,2023-03-24T12:40:02.614859
5853,PurchaseActivity,6513,111806,2023-05-16T04:15:32.729516
28653,PurchaseActivity,5300,70996,2023-05-16T07:13:03.778068
73053,PurchaseActivity,5300,70996,2023-05-16T07:14:29.832756
103293,PurchaseActivity,8220,67500,2023-05-16T08:19:28.529871
31373,PurchaseActivity,5310,74995,2023-03-25T11:31:26.215181
38493,PurchaseActivity,5732,14995,2023-03-25T11:34:01.18784
6893,PurchaseActivity,8011,8451,2023-03-25T11:44:21.301987
96973,PurchaseActivity,8299,3616,2023-05-16T21:23:13.974461
21853,PurchaseActivity,7299,299439,2023-03-25T11:50:35.969369
38493,PurchaseActivity,5732,15995,2023-03-25T11:59:58.325634
28653,PurchaseActivity,5300,146996,2023-05-17T01:14:42.822992
20413,PurchaseActivity,5311,19485,2023-03-25T11:53:58.119213
103533,PurchaseActivity,6300,40000,2023-05-17T04:21:11.879003
20413,PurchaseActivity,5311,18000,2023-03-25T11:58:02.61876
38493,ReturnActivity,5732,3997,2023-03-25T12:01:45.93226
51213,PurchaseActivity,5300,38534,2023-04-26T11:37:07.099914
32653,PurchaseActivity,5999,2319,2023-04-26T11:40:25.614917
103533,PurchaseActivity,6300,40000,2023-05-17T04:21:18.684775
